ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12889104,JF470119,11/04/2022 11:56:00 AM,058XX W 64TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0812,008,13,64,06,1138522,1861517,2022,11/13/2022 03:47:59 PM,41.776122357,-87.767745333,"(41.776122357, -87.767745333)"
26830,JF277233,06/12/2022 08:41:00 PM,064XX S KILBOURN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0813,008,13,65,01A,1147490,1861300,2022,09/18/2022 04:45:51 PM,41.775360317,-87.734874301,"(41.775360317, -87.734874301)"
26590,JF128349,01/30/2022 01:22:00 AM,062XX S ST LOUIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0823,008,23,66,01A,1154148,1862814,2022,09/18/2022 04:45:51 PM,41.779385228,-87.710426369,"(41.779385228, -87.710426369)"
26837,JF281629,06/16/2022 01:48:00 PM,063XX S CALIFORNIA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0825,008,17,66,01A,1158805,1862388,2022,09/18/2022 04:45:51 PM,41.778122383,-87.693364774,"(41.778122383, -87.693364774)"
27010,JF371622,08/26/2022 06:05:00 PM,059XX S CAMPBELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0824,008,16,66,01A,1160723,1865156,2022,09/18/2022 04:45:51 PM,41.785678771,-87.686256904,"(41.785678771, -87.686256904)"
26972,JF353547,08/13/2022 02:13:00 AM,034XX W 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0834,008,18,70,01A,1154632,1851977,2022,09/18/2022 04:45:51 PM,41.749637155,-87.708940351,"(41.749637155, -87.708940351)"
26566,JF112228,01/16/2022 01:14:00 PM,071XX S ARTESIAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0832,008,18,66,01A,1161274,1857341,2022,09/18/2022 04:45:51 PM,41.764221922,-87.684452865,"(41.764221922, -87.684452865)"
26946,JF338311,07/31/2022 05:55:00 AM,069XX S TALMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0831,008,17,66,01A,1159907,1858513,2022,09/18/2022 04:45:51 PM,41.767466251,-87.689431132,"(41.767466251, -87.689431132)"
27040,JF380785,09/09/2022 04:28:00 AM,036XX W 85TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,false,false,0834,008,18,70,01A,1153514,1847635,2022,09/18/2022 04:45:51 PM,41.737744159,-87.713151886,"(41.737744159, -87.713151886)"
26883,JF303404,07/03/2022 03:21:00 AM,056XX S SPAULDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0822,008,14,63,01A,1155346,1866935,2022,09/18/2022 04:45:51 PM,41.790669959,-87.705924081,"(41.790669959, -87.705924081)"
26985,JF359630,08/17/2022 03:17:00 AM,035XX W PERSHING RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0821,008,14,58,01A,1153438,1878511,2022,09/18/2022 04:45:51 PM,41.822474117,-87.712613764,"(41.822474117, -87.712613764)"
12868615,JF445780,10/14/2022 09:30:00 AM,065XX S CICERO AVE,0810,THEFT,OVER $500,HOTEL / MOTEL,false,false,0833,008,13,64,06,1145513,1860815,2022,11/12/2022 03:46:21 PM,41.77406692,-87.742134088,"(41.77406692, -87.742134088)"
12869434,JF440488,10/16/2022 03:30:00 PM,082XX S WASHTENAW AVE,0810,THEFT,OVER $500,STREET,false,false,0835,008,18,70,06,1159805,1849986,2022,11/12/2022 03:46:21 PM,41.744068961,-87.690038718,"(41.744068961, -87.690038718)"
27124,JF437358,10/17/2022 01:57:00 AM,067XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0832,008,17,66,01A,1161537,1859867,2022,10/24/2022 04:55:39 PM,41.771148178,-87.683418941,"(41.771148178, -87.683418941)"
12868967,JF446187,09/23/2022 10:30:00 AM,074XX S CICERO AVE,0810,THEFT,OVER $500,OTHER (SPECIFY),false,false,0833,008,18,65,06,1145688,1854844,2022,11/12/2022 03:46:21 PM,41.757678154,-87.741643133,"(41.757678154, -87.741643133)"
12868661,JF445785,10/12/2022 11:30:00 AM,051XX S MASSASOIT AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,0811,008,14,56,10,1138899,1870015,2022,11/12/2022 03:46:21 PM,41.799435548,-87.766157739,"(41.799435548, -87.766157739)"
12869565,JF447006,08/30/2022 12:00:00 PM,035XX W 66TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,0831,008,23,66,11,1153958,1860625,2022,11/12/2022 03:46:21 PM,41.773382051,-87.711180996,"(41.773382051, -87.711180996)"
12872487,JF450230,10/23/2022 09:00:00 AM,054XX S KILBOURN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0815,008,23,62,08B,1147288,1868090,2022,11/12/2022 03:46:21 PM,41.793997032,-87.735441734,"(41.793997032, -87.735441734)"
12872366,JF450226,10/24/2022 03:00:00 PM,062XX S OAKLEY AVE,0810,THEFT,OVER $500,CONSTRUCTION SITE,false,false,0825,008,16,66,06,1162130,1863314,2022,11/12/2022 03:46:21 PM,41.780594903,-87.68114938,"(41.780594903, -87.68114938)"
12786613,JF348004,08/06/2022 10:00:00 PM,027XX W 68TH ST,0890,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,false,false,0831,008,17,66,06,1159381,1859440,2022,11/12/2022 03:46:21 PM,41.770020864,-87.6913338,"(41.770020864, -87.6913338)"
12629443,JF158453,02/26/2022 02:00:00 AM,035XX W 81ST PL,0820,THEFT,$500 AND UNDER,RESIDENCE,false,true,0834,008,18,70,06,1154189,1850322,2022,11/12/2022 03:46:21 PM,41.745104369,-87.710607596,"(41.745104369, -87.710607596)"
12629462,JF158528,01/22/2022 12:00:00 AM,064XX S KEDVALE AVE,0580,STALKING,SIMPLE,APARTMENT,false,true,0813,008,13,65,08A,1149809,1861672,2022,11/12/2022 03:46:21 PM,41.776336546,-87.726363378,"(41.776336546, -87.726363378)"
